  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
    icnatkejorP             nopmazS                 tenurB          einahcyddO enzcutzS
      akledoM                ysołW               ysołW ensaJ          awoisreiP aktalK

  YDOM ZAKOP               AKWYŻDO               NYDNOLB               AJCAMINAER


PRZYSTANEK WOODSTOCK         MORZE           AGENCJA TOWARZYSKA           CZEŚĆ

     Festiwal                 Plaża                 Sex                    Mówić
      Muzyka                 Bałtyk            Dom Publiczny               Witam
   Jurek Owsiak               Woda                Burdel                Dzień Dobry
      Koncert               Kąpać Się               007                   Tereska
       Wośp                 Wakacje             Prostytutka             Żegnać Się


      kerógO                  byzrG                  ogułD           ataiwŚ awtsozrtsiM
      toimaN                  akjaB               ćśomojanZ                  arG
      akdóW                  arugiW                  zcalK                 lobtuF
      ćakuzS                 ćorpaP                  ysołW                 rahcuP
       abyR                   hceM            eleicajyzrP Y zratS        anżoN akłiP

      ŹDELŚ            KEROMOHCUM I KERIWŻ    EINOK ESYŁ KAJ             LAIDNUM
  RESOR           PODWIĄZKA            KOMEDIA SYTUACYJNA      FILEMON

   Koło               Noga                    Serial          Dobranocka
Amortyzator          Bielizna               Tragedia           Bonifacy
   Auto             Kabaretka                Sitcom              Piec
 Samochód             Order                  Dramat            Przygody
 Sprężyna          Studniówka                Śmiech               Kot


  rewoR               dóraN                  arajuF               ołoK
  ołtaiwŚ          ęiS ćaddoP               apałtjaF            ksicdO
   dąrP            akilbupeR                  apaG                awD
   ołoK            weigąrohC                ęiS ćadU           lkycotoM
  onmeiC             ynrazC                 aradzeiN             rewoR

 OMANYD           AGALF AŁAIB               AMREFO            DALŚONDEJ


  KISIEL               NIC                  KATANA            KATAKLIZM

 Galaretka            Zero                Japoński Miecz         Klęska
  Proszek             Brak                     Broń             Tragedia
  Felieton           Pustka                   Szabla            Powódź
 Krochmal           Wszystko             Kurtka Jeansowa         Śmierć
   Budyń              Nie                    Samuraj           Katastrofa


    razC             anjoW                      ćiP            lekreM .A
 anbargZ              źdóŁ                  allebogoJ            daisąS
einezdowU            ketatS                   okelM              nilreB
   korU              ćawyłP                 ywocowO             owtsńaP
  ateiboK            toob-U                    rifeK              jarK

LIPASKES      YNDOWDOP TĘRKO                TRUGOJ             YCMEIN


  BILET            NIETOPERZ                 ŻUŻEL          MARTWA NATURA

  Wilk                Noc                     Piach             Płótno
 Miesiąc             Latać                  Grand Prix         Dzbanek
 Autobus             Gacek                Tomasz Gollob         Obraz
 Podróż              Krew                     Szlaka           Malować
  Kasa              Skrzydła             Sport Motorowy         Owoce


  eilakaB           ćałysezrP                 omsiP              akjiniL
  górawT             gniknaR                anagariH             kinróiP
   otsaiC            akyzuM                   aretiL           airtemoeG
   reseD             ćahcułS                 ainopaJ           ytrawzoR
  kecalP      ywoicśonzcełopS latroP           nilK               yrtsO

 KINRES          ĆAWOLBORKS                ANAKATAK           ZREIMOTĄK


 GWÓŹDŹ        OJCIEC CHRZESNY         NIESKOŃCZONOŚĆ         ZADUSZKI

  Wbijać          Marlon Brando             Koniec              Święci
  Łepek              Rodzina                  Oś               Cmentarz
 Program           Sakrament                Ósemka              Zmarli
  Młotek              Mafia                Wieczność             Znicz
 Trumna               Matka                 Granica            Listopad


zcazrukdO            raworB                 kindohC             latipzS
  aigrelA             owiP                  ćadałkU              yratS
 ćatązrpS           aknalkzS                dzajdoP         ynwarpsonłepeiN
   durB                buP                   tinarG             troruK
    łyP               anaiP                  ałgeC            oksiwordzU

  ZRUK               LEFUK             AWOKURB AKTSOK        MUIROTANAS
     MIM               AURA         BOŚNIA I HERCEGOWINA     ZAKREŚLACZ

Ireneusz Krosny       Pogoda               Bałkany             Zaznaczać
  Gestykulacja       Poświata             Państwo               Odblask
     Teatr           Atmosfera             Rozpad                Papier
     Cisza              Zły               Sarajewo             Flamaster
     Twarz             Dobry             Jugosławia              Tekst


    owarP             ałokzS               ketatS                 knaB
     ćeiM           leicyzcuaN             lateM               ezdąineiP
   einadaZ          wejeledneM          akwórażęiC              tyzopeD
   sumyzrP           awokroK               ćizoW                  asaK
   ćawyzW              aderK              anibruT                atakoL

 KEZĄIWOBO            ACILBAT           RENETNOK           EICNOK AN IKDORŚ


  NUMEREK         SĄD OSTATECZNY          SZPADA           KRESY WSCHODNIE

    Loteria            Grzech            Biała Broń              Litwa
     Seks            Apokalipsa             Zorro               Ukraina
    Liczba               Bóg               Floret                Rosja
   Szatnia             Wyrok               Szabla               Białoruś
  Szczęśliwy        Koniec Świata        Szermierka              Wołyń


    adasoP           kezsicarB             iceizD               kesoinW
    ałzeiN           kinletsuP             repuS                 atneuP
    atoboR           ynwohcuD              ainarF                 akjaB
     acarP             nokaZ             aknukeipO               akuaN
   ćaibaroD            zdąisK              comoP              einezcńokaZ

    AHCUF             HCINM               AINAIN                ŁAROM
